dataset,variant,fold,score,n_features,time,metric,test_subject
emotions,resampling,1,0.9531615925058547,5,23.435776948928833,accuracy,
emotions,resampling,2,0.9391100702576112,3,15.11853003501892,accuracy,
emotions,resampling,3,0.9342723004694836,5,23.31803178787231,accuracy,
emotions,resampling,4,0.9507042253521126,10,47.05670690536499,accuracy,
emotions,resampling,5,0.9295774647887324,5,23.34353804588318,accuracy,
emotions,aggregate,1,0.9648711943793912,13,66.45188617706299,accuracy,
emotions,aggregate,2,0.9508196721311476,9,43.047950983047485,accuracy,
emotions,aggregate,3,0.9530516431924884,7,33.0739209651947,accuracy,
emotions,aggregate,4,0.931924882629108,7,32.740763902664185,accuracy,
emotions,aggregate,5,0.9507042253521126,8,37.46012020111084,accuracy,
emotions,pattern,1,0.9461358313817332,6,125.86389183998108,accuracy,
emotions,pattern,2,0.9578454332552692,8,228.48588275909424,accuracy,
emotions,pattern,3,0.9647887323943662,8,203.23069095611572,accuracy,
emotions,pattern,4,0.9225352112676056,5,214.6491949558258,accuracy,
emotions,pattern,5,0.9389671361502347,6,118.02616500854492,accuracy,
emotions,decision_tree,1,0.9086651053864168,4,6.810929298400879,accuracy,
emotions,decision_tree,2,0.9039812646370023,5,8.15320873260498,accuracy,
emotions,decision_tree,3,0.8990610328638498,5,8.202873945236206,accuracy,
emotions,decision_tree,4,0.931924882629108,5,8.078105926513672,accuracy,
emotions,decision_tree,5,0.92018779342723,5,8.05281376838684,accuracy,
emotions,n_trials_1000,1,0.9461358313817332,8,132.12326312065125,accuracy,
emotions,n_trials_1000,2,0.9414519906323184,8,130.45359325408936,accuracy,
emotions,n_trials_1000,3,0.9741784037558684,11,182.3657159805298,accuracy,
emotions,n_trials_1000,4,0.9530516431924884,7,113.68823194503784,accuracy,
emotions,n_trials_1000,5,0.9483568075117372,6,98.93010902404784,accuracy,
emotions,raw_only,1,0.9508196721311476,8,36.39643883705139,accuracy,
emotions,raw_only,2,0.9531615925058547,6,27.15315103530884,accuracy,
emotions,raw_only,3,0.9530516431924884,7,31.273980855941772,accuracy,
emotions,raw_only,4,0.92018779342723,5,22.885306119918823,accuracy,
emotions,raw_only,5,0.9272300469483568,7,31.89642596244812,accuracy,
emotions,nsga2,1,0.9391100702576112,8,32.72233986854553,accuracy,
emotions,nsga2,2,0.9531615925058547,6,24.03794527053833,accuracy,
emotions,nsga2,3,0.9413145539906104,5,20.241950035095215,accuracy,
emotions,nsga2,4,0.9248826291079812,9,37.523090839385986,accuracy,
emotions,nsga2,5,0.943661971830986,6,24.33348298072815,accuracy,
emotions,parallel,1,0.955503512880562,10,10.094688892364502,accuracy,
emotions,parallel,2,0.9531615925058547,10,9.825684070587158,accuracy,
emotions,parallel,3,0.960093896713615,10,9.87886881828308,accuracy,
emotions,parallel,4,0.9507042253521126,10,9.902153968811035,accuracy,
emotions,parallel,5,0.943661971830986,10,9.852658987045288,accuracy,
mimic,resampling,1,0.8448672356567093,36,12.61509394645691,auc,
mimic,resampling,2,0.8504800853485064,37,16.788376092910767,auc,
mimic,resampling,3,0.8092520151730678,41,34.455578088760376,auc,
mimic,resampling,4,0.8067863916548128,35,8.543354034423828,auc,
mimic,resampling,5,0.829853119141969,39,25.485774040222168,auc,
mimic,aggregate,1,0.85,37,17.40294909477234,auc,
mimic,aggregate,2,0.852554528212423,39,26.41357684135437,auc,
mimic,aggregate,3,0.8255867709815078,42,43.89275288581848,auc,
mimic,aggregate,4,0.8079658605974396,38,20.08200716972351,auc,
mimic,aggregate,5,0.812169280782099,45,45.97646164894104,auc,
mimic,pattern,1,0.8458036984352774,38,20.090276956558228,auc,
mimic,pattern,2,0.854551920341394,42,37.46827507019043,auc,
mimic,pattern,3,0.8118835941204362,50,77.46331524848938,auc,
mimic,pattern,4,0.8074383594120437,41,33.545066118240356,auc,
mimic,pattern,5,0.8255641506299979,45,50.0370979309082,auc,
mimic,decision_tree,1,0.7855174253200569,49,28.166112184524536,auc,
mimic,decision_tree,2,0.7551238738738738,42,15.324148893356323,auc,
mimic,decision_tree,3,0.7440167140825035,39,9.978981018066406,auc,
mimic,decision_tree,4,0.7658517069701282,41,13.307467937469482,auc,
mimic,decision_tree,5,0.7533398191870536,47,24.470664024353027,auc,
mimic,n_trials_1000,1,0.841957088667615,38,67.1245551109314,auc,
mimic,n_trials_1000,2,0.8581851588430536,40,94.7235939502716,auc,
mimic,n_trials_1000,3,0.8167259364627786,40,98.67503309249878,auc,
mimic,n_trials_1000,4,0.8134483167377904,41,112.32147002220154,auc,
mimic,n_trials_1000,5,0.8165887573262463,37,51.898858070373535,auc,
mimic,raw_only,1,0.862215504978663,39,21.807061910629272,auc,
mimic,raw_only,2,0.8586000474158368,46,49.92487406730652,auc,
mimic,raw_only,3,0.8078236130867711,37,14.92388081550598,auc,
mimic,raw_only,4,0.8118539592223802,38,18.443345308303833,auc,
mimic,raw_only,5,0.8153014735543269,39,21.39745306968689,auc,
mimic,nsga2,1,0.840990990990991,47,48.48327326774597,auc,
mimic,nsga2,2,0.8542911332385016,46,45.25443887710571,auc,
mimic,nsga2,3,0.8154575628259838,38,16.82040762901306,auc,
mimic,nsga2,4,0.8203888098624941,41,26.810313940048218,auc,
mimic,nsga2,5,0.823126023301616,50,59.88281321525574,auc,
mimic,parallel,1,0.8506638217164533,44,7.876417875289917,auc,
mimic,parallel,2,0.8483345187292555,44,7.884427070617676,auc,
mimic,parallel,3,0.8033131816026553,44,7.947689056396484,auc,
mimic,parallel,4,0.8111427216690373,44,7.887125015258789,auc,
mimic,parallel,5,0.8296514249104241,44,7.83212685585022,auc,
svd,resampling,1,0.6582914572864321,1,3.910189628601074,accuracy,
svd,resampling,2,0.6934673366834171,1,3.9048550128936768,accuracy,
svd,resampling,3,0.6934673366834171,1,3.933983087539673,accuracy,
svd,resampling,4,0.6876574307304786,1,3.895317792892456,accuracy,
svd,resampling,5,0.6801007556675063,2,5.8668718338012695,accuracy,
svd,aggregate,1,0.7135678391959799,11,27.2327401638031,accuracy,
svd,aggregate,2,0.6959798994974874,3,8.459030866622925,accuracy,
svd,aggregate,3,0.6934673366834171,6,15.121170282363892,accuracy,
svd,aggregate,4,0.6599496221662469,4,10.640472888946531,accuracy,
svd,aggregate,5,0.6801007556675063,1,4.392117023468018,accuracy,
svd,pattern,1,0.7010050251256281,11,98.580974817276,accuracy,
svd,pattern,2,0.6708542713567839,3,29.423759937286377,accuracy,
svd,pattern,3,0.7110552763819096,10,125.41741013526917,accuracy,
svd,pattern,4,0.6775818639798489,8,62.82420897483826,accuracy,
svd,pattern,5,0.707808564231738,7,77.70910596847534,accuracy,
svd,decision_tree,1,0.678391959798995,2,3.0276622772216797,accuracy,
svd,decision_tree,2,0.678391959798995,7,8.130883932113647,accuracy,
svd,decision_tree,3,0.6809045226130653,4,5.037241220474243,accuracy,
svd,decision_tree,4,0.7002518891687658,7,8.277640342712402,accuracy,
svd,decision_tree,5,0.6926952141057935,6,7.138175010681152,accuracy,
svd,n_trials_1000,1,0.6834170854271356,6,52.49553894996643,accuracy,
svd,n_trials_1000,2,0.6582914572864321,1,14.402204990386965,accuracy,
svd,n_trials_1000,3,0.6557788944723618,11,95.85058617591858,accuracy,
svd,n_trials_1000,4,0.6624685138539043,1,14.399983167648315,accuracy,
svd,n_trials_1000,5,0.6826196473551638,4,36.7438440322876,accuracy,
svd,raw_only,1,0.6582914572864321,6,12.876264095306396,accuracy,
svd,raw_only,2,0.678391959798995,5,10.911249160766602,accuracy,
svd,raw_only,3,0.6582914572864321,1,3.678908109664917,accuracy,
