approach,fold,score,processing_time,n_features
PATX,1,0.72,29.7319757938385,3
PATX,2,0.75,30.23730206489563,3
PATX,3,0.75,38.314388036727905,4
PATX,4,0.74,38.49630331993103,4
PATX,5,0.76,55.8063268661499,6
TSFRESH,1,0.56,0.7084801197052002,10
TSFRESH,2,0.62,0.8467118740081787,10
TSFRESH,3,0.62,0.6453421115875244,10
TSFRESH,4,0.58,0.7486200332641602,10
TSFRESH,5,0.54,0.6993019580841064,10
CNN,1,0.45,185.2424659729004,4101
CNN,2,0.2,22.094049215316772,4101
CNN,3,0.46,186.042249917984,4101
CNN,4,0.51,184.61133480072021,4101
CNN,5,0.49,188.2314031124115,4101
