metric_name,metric_value,n_features,top_feature_name,top_feature_mean_abs_shap,subject_id,fold,dataset,rank,feature_name,mean_abs_shap,mean_shap_signed,direction_by_mean,value_effect_direction,feature_shap_corr
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,1,H3K4me3 raw 65-96,1.4685994514920477,-0.003836535433647326,negative,higher value -> higher prediction,0.9234577852718872
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,2,H3K36me3 raw 0-61,0.8597260459847689,0.0202604429660683,positive,higher value -> higher prediction,0.8840937806981227
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,3,H3K27me3 raw 0-111,0.5055492595380523,0.04101045489148596,positive,higher value -> lower prediction,-0.8117254041083489
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,4,H3K4me1 raw 0-81,0.3209951158126131,-0.02650446834459139,negative,higher value -> higher prediction,0.8898740636196337
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,5,H3K4me3 FFT 0-56,0.22946594069306162,0.0065007910075331535,positive,higher value -> higher prediction,0.6981062962055204
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,6,H3K9me3 raw 31-196,0.20158901989681066,-0.021500307263431415,negative,higher value -> lower prediction,-0.7211241657516633
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,7,H3K4me1 raw 105-199,0.12952377036183663,0.0065366667366496285,positive,higher value -> higher prediction,0.6126016007619411
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,8,H3K27me3 z-score 138-199,0.1288106228862112,0.0036319539499663107,positive,higher value -> higher prediction,0.813998495556841
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,9,H3K36me3 FFT 63-170,0.118607496819727,0.029531253758956988,positive,higher value -> higher prediction,0.3744607850610207
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,10,H3K9me3 z-score 0-36,0.09287703802006278,-0.00025251517589493987,negative,higher value -> lower prediction,-0.7512120766044685
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,11,H3K4me1 raw 60-144,0.0820544683304829,-0.012234503964861285,negative,higher value -> higher prediction,0.38862321911953496
auc,0.9280156215112145,12,H3K4me3 raw 65-96,1.4685994514920477,,1,remc_E003,12,H3K4me3 z-score 28-199,0.06938112318690845,0.015436602939846621,positive,higher value -> lower prediction,-0.5533656323270061
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,1,CGM raw 15-23,6.865599261219491,-0.6587106273244607,negative,higher value -> lower prediction,-0.9461786969184944
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,2,Insulin raw 21-23,2.5839540826087086,0.8527680645977058,positive,higher value -> lower prediction,-0.35586579109126315
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,3,CGM raw 0-5,2.139043028245367,0.3564802687918357,positive,higher value -> lower prediction,-0.717362616927769
rmse,22.829529300568286,17,CGM raw 15-23,6.865599261219491,1.0,1,azt1d,4,Insulin FFT 0-3,2.09169588806328,0.03469444984643977,positive,higher value -> lower prediction,-0.2383040256851164
