rank,feature_name,mean_abs_shap,dataset
1,H3K4me3 raw 65-96,1.4685994514920477,remc_E003
2,H3K36me3 raw 0-61,0.8597260459847689,remc_E003
3,H3K27me3 raw 0-111,0.5055492595380523,remc_E003
4,H3K4me1 raw 0-81,0.3209951158126131,remc_E003
5,H3K4me3 FFT 0-56,0.22946594069306162,remc_E003
6,H3K9me3 raw 31-196,0.20158901989681066,remc_E003
7,H3K4me1 raw 105-199,0.12952377036183663,remc_E003
8,H3K27me3 z-score 138-199,0.1288106228862112,remc_E003
9,H3K36me3 FFT 63-170,0.118607496819727,remc_E003
10,H3K9me3 z-score 0-36,0.09287703802006278,remc_E003
11,H3K4me1 raw 60-144,0.0820544683304829,remc_E003
12,H3K4me3 z-score 28-199,0.06938112318690845,remc_E003
1,CGM raw 16-23,11.774654891433405,azt1d
2,CGM deriv. 21-23,3.570139352056459,azt1d
3,CGM raw 22-23,2.941849745783604,azt1d
4,Insulin FFT 0-10,1.6032470517377275,azt1d
5,Carbs deriv. 10-23,1.4077721953346591,azt1d
6,Insulin deriv. 19-22,1.2817372960044504,azt1d
7,Carbs FFT 0-2,1.0691992552303229,azt1d
8,CGM z-score 0-16,1.000899277786276,azt1d
9,CGM FFT 1-2,0.9437329381686893,azt1d
10,CGM deriv. 1-14,0.609514811405907,azt1d
11,Insulin raw 0-3,0.5941632463173677,azt1d
12,CGM raw 8-15,0.5700555021751841,azt1d
13,Insulin raw 0-15,0.559173748450178,azt1d
14,Carbs raw 6-11,0.5002640341790678,azt1d
15,Insulin deriv. 0-23,0.44473628874865867,azt1d
16,CGM raw 0-4,0.4014690820343473,azt1d
