dataset,approach,fold,score,processing_time,n_features
emotions,PATX,1,0.9812646370023419,373.0005147457123,8
emotions,PATX,2,0.9929742388758782,450.69618678092957,8
emotions,PATX,3,0.9859154929577465,240.40785479545593,6
emotions,PATX,4,0.9812206572769953,371.3814527988434,9
emotions,PATX,5,0.9882629107981221,252.19002199172974,6
emotions,CNN,1,0.9484777517564403,2.952692985534668,1500
emotions,CNN,2,0.9648711943793911,1.899888038635254,1500
emotions,CNN,3,0.9765258215962441,2.7129902839660645,1500
emotions,CNN,4,0.9483568075117371,1.5024378299713135,1500
emotions,CNN,5,0.9553990610328639,2.553830862045288,1500
emotions,MiniRocket,1,1.0,37.821319818496704,9996
emotions,MiniRocket,2,1.0,36.91208791732788,9996
emotions,MiniRocket,3,1.0,36.579046964645386,9996
emotions,MiniRocket,4,0.9953051643192489,36.78861212730408,9996
emotions,MiniRocket,5,0.9953051643192489,37.28206491470337,9996
emotions,catch22,1,0.9718969555035128,11.809797048568726,22
emotions,catch22,2,0.9391100702576113,11.910155773162842,22
emotions,catch22,3,0.9577464788732394,11.88356900215149,22
emotions,catch22,4,0.9530516431924883,11.953579902648926,22
emotions,catch22,5,0.9647887323943662,11.874805927276611,22
emotions,tsfresh,1,0.9461358313817331,1.2855980396270752,10
emotions,tsfresh,2,0.9391100702576113,1.0219800472259521,10
emotions,tsfresh,3,0.9577464788732394,1.0297129154205322,10
emotions,tsfresh,4,0.9342723004694836,1.010713815689087,10
emotions,tsfresh,5,0.9272300469483568,1.0087668895721436,10
emotions,RDST,1,0.9929742388758782,66.79445195198059,6000
emotions,RDST,2,0.990632318501171,66.99748301506042,6000
emotions,RDST,3,1.0,67.3497679233551,6000
emotions,RDST,4,0.9812206572769953,67.59584784507751,6000
emotions,RDST,5,0.9859154929577465,66.77538704872131,6000
