dataset,fold,n_features,train_score,val_score,test_score,metric
emotions,1,1,0.8802816901408451,0.8827667057444314,0.8735362997658079,accuracy
emotions,1,2,0.960093896713615,0.9202813599062134,0.9039812646370023,accuracy
emotions,1,3,0.9917840375586856,0.94021101992966,0.911007025761124,accuracy
emotions,1,4,1.0,0.9531066822977726,0.9320843091334896,accuracy
emotions,1,5,1.0,0.962485345838218,0.9508196721311476,accuracy
emotions,1,6,1.0,0.9718640093786636,0.9414519906323184,accuracy
emotions,2,1,0.8896713615023474,0.876905041031653,0.8524590163934426,accuracy
emotions,2,2,0.9530516431924884,0.9062133645955452,0.8782201405152225,accuracy
emotions,2,3,0.9976525821596244,0.9355216881594371,0.9156908665105388,accuracy
emotions,2,4,0.9976525821596244,0.9484173505275498,0.9227166276346604,accuracy
emotions,2,5,1.0,0.955451348182884,0.9297423887587822,accuracy
emotions,3,1,0.8898007033997656,0.8851113716295428,0.8497652582159625,accuracy
emotions,3,2,0.9636576787807736,0.9073856975381008,0.892018779342723,accuracy
emotions,3,3,0.9988276670574444,0.936694021101993,0.9178403755868544,accuracy
emotions,3,4,1.0,0.9484173505275498,0.9272300469483568,accuracy
emotions,3,5,1.0,0.9507620164126612,0.9248826291079812,accuracy
emotions,3,6,1.0,0.9577960140679952,0.9460093896713616,accuracy
emotions,3,7,1.0,0.9613130128956624,0.955399061032864,accuracy
emotions,4,1,0.9038686987104336,0.8780773739742087,0.8544600938967136,accuracy
emotions,4,2,0.962485345838218,0.8898007033997656,0.8849765258215962,accuracy
emotions,4,3,1.0,0.924970691676436,0.9295774647887324,accuracy
emotions,4,4,0.9988276670574444,0.9390386869871044,0.9483568075117372,accuracy
emotions,4,5,1.0,0.9495896834701056,0.9507042253521126,accuracy
emotions,4,6,1.0,0.9519343493552168,0.9507042253521126,accuracy
emotions,4,7,1.0,0.9542790152403282,0.9530516431924884,accuracy
emotions,5,1,0.8698710433763188,0.8698710433763188,0.8732394366197183,accuracy
emotions,5,2,0.9660023446658852,0.9050410316529894,0.8967136150234741,accuracy
emotions,5,3,0.9964830011723328,0.933177022274326,0.9014084507042254,accuracy
emotions,5,4,0.9988276670574444,0.9519343493552168,0.92018779342723,accuracy
emotions,5,5,1.0,0.958968347010551,0.931924882629108,accuracy
emotions,5,6,1.0,0.9683470105509964,0.92018779342723,accuracy
emotions,5,7,1.0,0.9730363423212192,0.931924882629108,accuracy
mimic,1,1,0.9962673291984394,0.8124303579895684,0.8434566145092461,auc
mimic,1,2,0.9968276745371962,0.8158843053579896,0.8477418207681365,auc
mimic,1,3,0.9984168020587504,0.8182210170697013,0.8361190137505926,auc
mimic,1,4,0.9978193968430916,0.8204836415362731,0.8448553816974869,auc
mimic,1,5,0.9984168020587504,0.8245865931721195,0.845762209577999,auc
mimic,1,6,0.9980165553882095,0.8247540303461356,0.8465386439070649,auc
