dataset,approach,fold,score,processing_time,n_features
mimic,PATX,1,0.7673098751418842,450.715558052063,9
mimic,PATX,2,0.7522727272727273,112.03388118743896,3
mimic,PATX,3,0.7795454545454545,387.60399103164673,8
mimic,PATX,4,0.7727272727272727,340.35182785987854,7
mimic,PATX,5,0.7647727272727273,192.69466972351074,4
mimic,CNN,1,0.771850170261067,5.241786003112793,696
mimic,CNN,2,0.7852272727272728,2.7477622032165527,696
mimic,CNN,3,0.7829545454545455,3.889681816101074,696
mimic,CNN,4,0.7840909090909091,4.237531900405884,696
mimic,CNN,5,0.7704545454545455,4.428804159164429,696
mimic,MiniRocket,1,0.7400681044267877,43.37102913856506,9996
mimic,MiniRocket,2,0.7613636363636364,42.97379422187805,9996
mimic,MiniRocket,3,0.7454545454545455,42.69500708580017,9996
mimic,MiniRocket,4,0.7465909090909091,42.668895959854126,9996
mimic,MiniRocket,5,0.759090909090909,42.911186933517456,9996
mimic,catch22,1,0.7309875141884222,8.723268032073975,22
mimic,catch22,2,0.7227272727272728,9.25800085067749,22
mimic,catch22,3,0.7375,8.710570096969604,22
mimic,catch22,4,0.7329545454545454,8.75665807723999,22
mimic,catch22,5,0.7261363636363637,8.941535234451294,22
mimic,tsfresh,1,0.7423382519863791,1.2433569431304932,10
mimic,tsfresh,2,0.7488636363636364,1.2379131317138672,10
mimic,tsfresh,3,0.7522727272727273,1.2486557960510254,10
mimic,tsfresh,4,0.7352272727272727,1.4203300476074219,10
mimic,tsfresh,5,0.7465909090909091,1.2460780143737793,10
mimic,RDST,1,0.7786606129398411,50.079588174819946,6000
mimic,RDST,2,0.7852272727272728,50.620909214019775,6000
mimic,RDST,3,0.7681818181818182,50.69292712211609,6000
mimic,RDST,4,0.7568181818181818,50.61790418624878,6000
mimic,RDST,5,0.7625,51.07776093482971,6000
