dataset,approach,fold,score,processing_time,n_features
mitbih,PATX,1,0.9410840534171249,524.0961608886719,12
mitbih,PATX,2,0.9516889238020424,643.5074210166931,14
mitbih,PATX,3,0.9454045561665357,1016.3642790317535,18
mitbih,PATX,4,0.9461901021209741,804.742283821106,15
mitbih,PATX,5,0.9481539670070699,715.8706901073456,15
mitbih,CNN,1,0.9340141398271798,27.884634017944336,100
mitbih,CNN,2,0.9497250589159466,35.90757608413696,100
mitbih,CNN,3,0.934406912804399,29.468575954437256,100
mitbih,CNN,4,0.9461901021209741,32.102553844451904,100
mitbih,CNN,5,0.9391201885310291,33.799636125564575,100
mitbih,MiniRocket,1,0.9591516103692066,59.65496826171875,9996
mitbih,MiniRocket,2,0.9638648860958366,59.35693597793579,9996
mitbih,MiniRocket,3,0.9607227022780833,59.48699116706848,9996
mitbih,MiniRocket,4,0.9583660644147682,60.03221297264099,9996
mitbih,MiniRocket,5,0.9591516103692066,58.71529793739319,9996
mitbih,catch22,1,0.9190887666928516,4.14899206161499,22
mitbih,catch22,2,0.9293008641005499,4.154030084609985,22
mitbih,catch22,3,0.9265514532600158,4.158397912979126,22
mitbih,catch22,4,0.9332285938727416,4.155158996582031,22
mitbih,catch22,5,0.9241948153967007,4.15464186668396,22
mitbih,tsfresh,1,0.8405341712490181,2.192643880844116,10
mitbih,tsfresh,2,0.8534956794972506,2.056025743484497,10
mitbih,tsfresh,3,0.8405341712490181,2.0615012645721436,10
mitbih,tsfresh,4,0.8413197172034564,2.0599617958068848,10
mitbih,tsfresh,5,0.8397486252945797,2.0588011741638184,10
mitbih,RDST,1,0.9540455616653575,50.822774171829224,6000
mitbih,RDST,2,0.9634721131186175,50.99586772918701,6000
mitbih,RDST,3,0.9544383346425765,50.51436376571655,6000
mitbih,RDST,4,0.9540455616653575,50.46046209335327,6000
mitbih,RDST,5,0.9560094265514533,51.1217360496521,6000
