approach,fold,score,processing_time,n_features
Baseline,0,0.9369992144540455,272.1546320915222,17
Baseline,1,0.9456402199528673,414.803906917572,20
Degree 3,0,0.9437549096622152,7900.823805093765,22
Degree 3,1,0.9384131971720345,347.6043882369995,19
Degree 4,0,0.9390416339355853,262.1087489128113,19
Degree 4,1,0.9338570306362922,188.45817279815674,13
Degree 6,0,0.9428122545168892,391.8751664161682,23
Degree 6,1,0.9379418695993715,325.12725830078125,19
Degree 7,0,0.9313432835820895,190.6602599620819,12
Degree 7,1,0.9362136684996072,208.56100416183472,13
Reduced Trials,0,0.9352710133542812,100.56290888786316,13
Reduced Trials,1,0.9401413982717989,183.3315691947937,20
Increased Trials,0,0.9415553809897879,620.6419022083282,19
Increased Trials,1,0.9412411626080126,552.5252230167389,17
