Dataset,Subset,mean_similarity,std_similarity,min_similarity,max_similarity,mean_start_std,mean_width_std,num_folds,patterns_per_fold,num_patterns
MIMIC,All,0.8774221127789624,0.06699463667439023,0.6683471461087828,0.9621024222705249,2.5407200335086806,3.2179056477060857,5,"[6, 8, 9, 12, 5]",
Bonn_EEG,All,0.945224513638407,0.02792121770639325,0.8904745860831365,0.9947160439856491,459.8476520364224,681.9739620232338,5,"[7, 4, 6, 7, 4]",
REMC,E005,0.9284003816442693,0.044765879483271306,0.7280131691910542,0.9893402377256081,19.708869250431757,13.5394036576935,5,"[14, 14, 14, 11, 17]",
REMC,E004,0.9279166819614322,0.048729232292236455,0.7385474866221304,0.9935743002685302,16.547983880569845,19.471431187101732,5,"[10, 15, 16, 19, 12]",
REMC,E003,0.9206363857393716,0.05713083570397312,0.7421003658890167,0.9919134766841763,14.964108671981561,22.98670798294007,5,"[11, 17, 13, 19, 15]",
REMC,E006,0.9211029567659388,0.0506696601317156,0.7070942480250173,0.990322529505737,16.6916710569785,23.85340409434949,5,"[14, 18, 15, 12, 16]",
AZT1D,22,,,,,,,1,[7],7.0
AZT1D,18,,,,,,,1,[9],9.0
AZT1D,2,,,,,,,1,[13],13.0
AZT1D,15,,,,,,,1,[13],13.0
AZT1D,3,,,,,,,1,[9],9.0
AZT1D,19,,,,,,,1,[18],18.0
AZT1D,23,,,,,,,1,[9],9.0
AZT1D,12,,,,,,,1,[16],16.0
AZT1D,8,,,,,,,1,[9],9.0
AZT1D,24,,,,,,,1,[22],22.0
AZT1D,4,,,,,,,1,[6],6.0
AZT1D,5,,,,,,,1,[7],7.0
AZT1D,25,,,,,,,1,[5],5.0
AZT1D,9,,,,,,,1,[12],12.0
AZT1D,13,,,,,,,1,[14],14.0
AZT1D,10,,,,,,,1,[13],13.0
AZT1D,6,,,,,,,1,[14],14.0
AZT1D,7,,,,,,,1,[7],7.0
AZT1D,11,,,,,,,1,[12],12.0
AZT1D,20,,,,,,,1,[10],10.0
AZT1D,16,,,,,,,1,[9],9.0
AZT1D,17,,,,,,,1,[8],8.0
AZT1D,21,,,,,,,1,[14],14.0
AZT1D,1,,,,,,,1,[7],7.0
