dataset,approach,fold,score,processing_time,n_features,cell_line
remc,PATX,1,0.9246736043237817,448.0577721595764,15,E003
remc,PATX,2,0.9243384027470976,293.23976492881775,11,E003
remc,PATX,3,0.9275899855082416,337.42659091949463,12,E003
remc,PATX,4,0.9284000655474092,426.0113039016723,16,E003
remc,PATX,5,0.9328974607452364,310.6180076599121,12,E003
remc,CNN,1,0.928025636811058,14.689017057418823,1000,E003
remc,CNN,2,0.9317942753870287,12.009883880615234,1000,E003
remc,CNN,3,0.9364878131591768,18.167407035827637,1000,E003
remc,CNN,4,0.934644605719365,20.028076171875,1000,E003
remc,CNN,5,0.9430639405546302,24.089231729507446,1000,E003
remc,MiniRocket,1,0.9112931637330676,141.9068422317505,9996,E003
remc,MiniRocket,2,0.911824119508524,142.27487707138062,9996,E003
remc,MiniRocket,3,0.9155195621054516,140.14071106910706,9996,E003
remc,MiniRocket,4,0.9174431264227974,143.2096230983734,9996,E003
remc,MiniRocket,5,0.9269449955849812,139.89957404136658,9996,E003
remc,catch22,1,0.9023396329569348,58.791378021240234,22,E003
remc,catch22,2,0.9087515837926908,58.81626605987549,22,E003
remc,catch22,3,0.9179282237973122,58.62872910499573,22,E003
remc,catch22,4,0.9105311756918142,56.30766987800598,22,E003
remc,catch22,5,0.9167951678827126,58.20674419403076,22,E003
remc,tsfresh,1,0.8665844233808941,5.967557191848755,10,E003
remc,tsfresh,2,0.8672416999536983,6.042535066604614,10,E003
remc,tsfresh,3,0.8738683563599132,5.883615970611572,10,E003
remc,tsfresh,4,0.8726389375189363,5.87640380859375,10,E003
remc,tsfresh,5,0.8836414120515277,5.9006078243255615,10,E003
remc,RDST,1,0.903132609050414,304.1891279220581,6000,E003
remc,RDST,2,0.9081851172559204,305.9346969127655,6000,E003
remc,RDST,3,0.9095685688290736,306.09931898117065,6000,E003
remc,RDST,4,0.9116729502582404,305.67319083213806,6000,E003
remc,RDST,5,0.9160568753455682,305.7678282260895,6000,E003
remc,PATX,1,0.9227709919211878,285.9683790206909,12,E004
remc,PATX,2,0.9261141368178787,356.66393089294434,13,E004
remc,PATX,3,0.9230622320373078,350.6662700176239,15,E004
remc,PATX,4,0.9239269853732607,384.3653860092163,16,E004
remc,PATX,5,0.9200230241169667,442.8375837802887,18,E004
remc,CNN,1,0.9335400903615699,10.512433052062988,1000,E004
remc,CNN,2,0.9345695782712633,10.762256860733032,1000,E004
remc,CNN,3,0.9306376167379368,10.103018999099731,1000,E004
remc,CNN,4,0.9304117285064033,7.782731056213379,1000,E004
remc,CNN,5,0.9301896512901405,17.689028024673462,1000,E004
remc,MiniRocket,1,0.9131317076734282,138.07533979415894,9996,E004
remc,MiniRocket,2,0.9157677227838913,137.44121313095093,9996,E004
remc,MiniRocket,3,0.9146116535900922,139.56737112998962,9996,E004
remc,MiniRocket,4,0.9081049784200481,140.77551078796387,9996,E004
remc,MiniRocket,5,0.9114983241790954,137.66446590423584,9996,E004
remc,catch22,1,0.91532726759644,55.90060305595398,22,E004
remc,catch22,2,0.914098090665887,58.164977073669434,22,E004
remc,catch22,3,0.9139445375620068,54.85828495025635,22,E004
remc,catch22,4,0.9131828395467798,54.9574408531189,22,E004
remc,catch22,5,0.9094705985680956,55.94230508804321,22,E004
remc,tsfresh,1,0.8609278409428993,5.953692197799683,10,E004
remc,tsfresh,2,0.8676221933454624,5.92301607131958,10,E004
remc,tsfresh,3,0.865950498133932,5.887985944747925,10,E004
remc,tsfresh,4,0.8662249290001308,5.920478343963623,10,E004
remc,tsfresh,5,0.8668696455370585,5.910262823104858,10,E004
remc,RDST,1,0.9122793761999949,305.1253538131714,6000,E004
remc,RDST,2,0.9070520368185564,303.51100492477417,6000,E004
remc,RDST,3,0.9064861597370794,302.77272772789,6000,E004
remc,RDST,4,0.9079520148165439,303.7313401699066,6000,E004
remc,RDST,5,0.9080284966182959,305.09675574302673,6000,E004
