dataset,approach,fold,score,processing_time,n_features
svd,PATX,1,0.6322314049586777,90.4536509513855,3
svd,PATX,2,0.5767634854771784,151.5829701423645,5
svd,PATX,3,0.5767634854771784,100.36145114898682,2
svd,PATX,4,0.6182572614107884,68.87359189987183,2
svd,PATX,5,0.5809128630705395,79.94570326805115,3
svd,CNN,1,0.5289256198347108,1.1923458576202393,6300
svd,CNN,2,0.5809128630705395,0.8346717357635498,6300
svd,CNN,3,0.5643153526970954,0.860360860824585,6300
svd,CNN,4,0.5643153526970954,0.7923119068145752,6300
svd,CNN,5,0.5726141078838174,0.6560800075531006,6300
svd,MiniRocket,1,0.6198347107438017,46.03280687332153,9996
svd,MiniRocket,2,0.6182572614107884,45.92799997329712,9996
svd,MiniRocket,3,0.6431535269709544,45.94537878036499,9996
svd,MiniRocket,4,0.5850622406639004,45.871965169906616,9996
svd,MiniRocket,5,0.6016597510373444,45.934329986572266,9996
svd,catch22,1,0.6115702479338843,52.183111906051636,22
svd,catch22,2,0.5145228215767634,50.947375774383545,22
svd,catch22,3,0.5311203319502075,54.81418800354004,22
svd,catch22,4,0.5435684647302904,54.56530785560608,22
svd,catch22,5,0.5477178423236515,54.400595903396606,22
svd,tsfresh,1,0.512396694214876,2.4501938819885254,10
svd,tsfresh,2,0.5643153526970954,2.5065348148345947,10
svd,tsfresh,3,0.5767634854771784,2.5688960552215576,10
svd,tsfresh,4,0.5643153526970954,2.4983222484588623,10
svd,tsfresh,5,0.5352697095435685,2.499249219894409,10
svd,RDST,1,0.5950413223140496,282.1776633262634,6000
svd,RDST,2,0.5809128630705395,282.10800099372864,6000
svd,RDST,3,0.5726141078838174,281.29232597351074,6000
svd,RDST,4,0.5477178423236515,283.8214020729065,6000
svd,RDST,5,0.6473029045643154,283.46513295173645,6000
